T [K],Density [kg/m3],cp [J/kgK],k [W/mK],mu [Pa s],nu [m2/s],alpha [m2/s]
520,0.678590411488169,1033.7901206293907,0.041188091974518455,2.7851163136340284e-05,4.104267119728652e-05,5.8712635783805516e-05
525,0.6721258403671487,1034.8027318155707,0.04149643879850486,2.8039305716842253e-05,4.171734522440885e-05,5.966266773574189e-05
530,0.6657833664224343,1035.8274061045524,0.041803805850053916,2.8226626105127827e-05,4.2396111901687635e-05,6.061714585109433e-05
535,0.6595595601807558,1036.8637174431087,0.042110206749922004,2.8413135551513276e-05,4.307895339084541e-05,6.157602874862663e-05
540,0.6534511195203575,1037.9112397911265,0.04241565486164987,2.8598845090536534e-05,4.3765852159727716e-05,6.253927684822088e-05
545,0.6474548638088806,1038.9695477124653,0.04272016329778083,2.8783765546360478e-05,4.445679097540463e-05,6.35068523398064e-05
550,0.6415677283623856,1040.0382169369402,0.0430237449259019,2.8967907538011615e-05,4.5151752897473155e-05,6.44787191505895e-05
555,0.6357867592051577,1041.116824893395,0.04332641237451261,2.915128148445971e-05,4.5850721271553066e-05,6.54548429107601e-05
560,0.630109108111401,1042.204951213985,0.04362817803872748,2.9333897609544135e-05,4.655367972296952e-05,6.643519091784577e-05
565,0.62453202791127,1043.302178209885,0.043929054085816883,2.951576594675231e-05,4.7260612150616145e-05,6.741973209987877e-05
570,0.6190528680449304,1044.4080913187422,0.04422905246059149,2.9696896343855135e-05,4.7971502720991767e-05,6.840843697753582e-05
575,0.6136690703494769,1045.522279524311,0.04452818489063521,2.9877298467404643e-05,4.868633586240527e-05,6.94012776254019e-05
580,0.6083781650645927,1046.6443357487474,0.04482646289139119,3.005698180709858e-05,4.9405096259342855e-05,7.03982276325058e-05
585,0.603177767043805,1047.7738572181481,0.04512389777110554,3.023595568001627e-05,5.012776884699138e-05,7.139926206226493e-05
590,0.5980655721590814,1048.9104458019576,0.045420500635633326,3.041422923473051e-05,5.085433880591363e-05,7.240435741197313e-05
595,0.5930393538873495,1050.0537083269346,0.04571628239311077,3.059181145529942e-05,5.158479155686937e-05,7.341349157195404e-05
600,0.5880969600682786,1051.2032568663965,0.04601125375849838,3.076871116514261e-05,5.231911275577812e-05,7.442664378450027e-05
605,0.5832363098233766,1052.358709005514,0.04630542525799842,3.094493703080531e-05,5.305728828881808e-05,7.544379460270666e-05
610,0.5784553906271078,1053.5196880834421,0.04659880723335101,3.112049756561442e-05,5.3799304267657454e-05,7.646492584930197e-05
615,0.5737522555213441,1054.6858234131125,0.046891409846012685,3.129540113323009e-05,5.454514702481352e-05,7.74900205755757e-05
620,0.5691250204650282,1055.8567504795126,0.047183243081220634,3.146965595109619e-05,5.5294803109135045e-05,7.851906302048815e-05
625,0.5645718618114478,1057.0321111172968,0.04747431675194658,3.1643270093793246e-05,5.604825928140441e-05,7.955203857004775e-05
630,0.560091013906004,1058.2115536685883,0.04776464050274363,3.181625149629692e-05,5.6805502510055284e-05,8.058893371703093e-05
635,0.5556807667978068,1059.3947331218167,0.04805422381348913,3.198860795714514e-05,5.7566519967002395e-05,8.162973602111439e-05
640,0.5513394640588531,1060.581311232447,0.048343076003027084,3.2160347141517e-05,5.833129902357945e-05,8.267443406948359e-05
